,date,day_of_week,weather_region_cd,maximum_feels_like_temperature,rainfall,sunshine_td,avg_ice_cream_price,ice_cream_sold,cpih,month
0,2022-03-27,0.0,1.0,15.4,0.2,12.1,2.70470195178,1498.0,6.2,3.0
1,2022-03-27,0.0,10.0,12.7,0.0,10.6,2.70470195178,2285.0,6.2,3.0
2,2022-03-27,0.0,11.0,15.1,0.0,10.2,2.70470195178,5509.0,6.2,3.0
3,2022-03-27,0.0,12.0,10.7,0.0,5.3,2.70470195178,7776.0,6.2,3.0
4,2022-03-27,0.0,13.0,13.1,0.0,8.6,2.70470195178,4903.0,6.2,3.0
5,2022-03-27,0.0,14.0,12.4,0.0,2.0,2.70470195178,20122.0,6.2,3.0
6,2022-03-27,0.0,2.0,15.7,0.0,11.5,2.70470195178,8390.0,6.2,3.0
7,2022-03-27,0.0,3.0,14.9,0.0,8.2,2.70470195178,532.0,6.2,3.0
8,2022-03-27,0.0,4.0,14.6,0.0,9.6,2.70470195178,1220.0,6.2,3.0
9,2022-03-27,0.0,5.0,15.2,0.0,3.6,2.70470195178,9577.0,6.2,3.0
10,2022-03-27,0.0,6.0,15.7,0.0,6.5,2.70470195178,7071.0,6.2,3.0
11,2022-03-27,0.0,7.0,12.3,0.0,2.8,2.70470195178,3510.0,6.2,3.0
12,2022-03-27,0.0,8.0,11.3,0.0,6.5,2.70470195178,5481.0,6.2,3.0
13,2022-03-27,0.0,9.0,12.4,0.0,10.8,2.70470195178,9230.0,6.2,3.0
14,2022-03-28,1.0,1.0,14.2,0.0,4.1,2.70470195178,901.0,6.2,3.0
15,2022-03-28,1.0,10.0,13.6,0.0,2.4,2.70470195178,1865.0,6.2,3.0
16,2022-03-28,1.0,11.0,14.3,0.0,1.0,2.70470195178,4065.0,6.2,3.0
17,2022-03-28,1.0,12.0,14.3,0.0,2.3,2.70470195178,7593.0,6.2,3.0
18,2022-03-28,1.0,13.0,15.3,0.0,3.5,2.70470195178,4186.0,6.2,3.0
19,2022-03-28,1.0,14.0,15.9,0.0,5.3,2.70470195178,17076.0,6.2,3.0
20,2022-03-28,1.0,2.0,16.7,0.0,8.8,2.70470195178,5571.0,6.2,3.0
21,2022-03-28,1.0,3.0,12.6,0.0,0.0,2.70470195178,322.0,6.2,3.0
22,2022-03-28,1.0,4.0,15.2,0.0,8.1,2.70470195178,1256.0,6.2,3.0
23,2022-03-28,1.0,5.0,10.3,9.2,0.0,2.70470195178,6056.0,6.2,3.0
24,2022-03-28,1.0,6.0,14.5,0.0,7.4,2.70470195178,6947.0,6.2,3.0
25,2022-03-28,1.0,7.0,14.2,0.0,8.4,2.70470195178,3322.0,6.2,3.0
26,2022-03-28,1.0,8.0,12.8,0.2,6.2,2.70470195178,5929.0,6.2,3.0
27,2022-03-28,1.0,9.0,15.2,0.0,1.5,2.70470195178,10864.0,6.2,3.0
28,2022-03-29,2.0,1.0,2.6,0.4,0.0,2.70470195178,749.0,6.2,3.0
29,2022-03-29,2.0,10.0,10.6,0.4,0.0,2.70470195178,1753.0,6.2,3.0
30,2022-03-29,2.0,11.0,10.8,1.4,0.0,2.70470195178,4134.0,6.2,3.0
31,2022-03-29,2.0,12.0,10.1,1.8,0.7,2.70470195178,6582.0,6.2,3.0
32,2022-03-29,2.0,13.0,11.8,2.2,0.0,2.70470195178,4093.0,6.2,3.0
33,2022-03-29,2.0,14.0,9.5,0.2,0.1,2.70470195178,14925.0,6.2,3.0
34,2022-03-29,2.0,2.0,10.5,0.2,0.7,2.70470195178,3698.0,6.2,3.0
35,2022-03-29,2.0,3.0,12.3,3.2,3.9,2.70470195178,347.0,6.2,3.0
36,2022-03-29,2.0,4.0,13.4,0.8,4.8,2.70470195178,1279.0,6.2,3.0
37,2022-03-29,2.0,5.0,9.4,0.6,0.0,2.70470195178,5808.0,6.2,3.0
38,2022-03-29,2.0,6.0,14.8,0.0,5.5,2.70470195178,6100.0,6.2,3.0
39,2022-03-29,2.0,7.0,7.2,0.2,0.7,2.70470195178,2778.0,6.2,3.0
40,2022-03-29,2.0,8.0,4.9,0.0,0.0,2.70470195178,5141.0,6.2,3.0
41,2022-03-29,2.0,9.0,7.0,0.0,5.7,2.70470195178,8612.0,6.2,3.0
42,2022-03-30,3.0,1.0,2.1,2.0,8.2,2.70470195178,722.0,6.2,3.0
43,2022-03-30,3.0,10.0,4.0,1.8,0.0,2.70470195178,1797.0,6.2,3.0
44,2022-03-30,3.0,11.0,11.3,2.0,4.8,2.70470195178,4399.0,6.2,3.0
45,2022-03-30,3.0,12.0,6.1,0.2,0.0,2.70470195178,6880.0,6.2,3.0
46,2022-03-30,3.0,13.0,11.5,3.2,0.5,2.70470195178,4260.0,6.2,3.0
47,2022-03-30,3.0,14.0,8.9,0.2,1.2,2.70470195178,15032.0,6.2,3.0
48,2022-03-30,3.0,2.0,4.5,0.2,7.2,2.70470195178,4139.0,6.2,3.0
49,2022-03-30,3.0,3.0,-0.4,2.0,4.0,2.70470195178,381.0,6.2,3.0
50,2022-03-30,3.0,4.0,3.0,0.2,3.0,2.70470195178,1150.0,6.2,3.0
51,2022-03-30,3.0,5.0,0.5,4.0,0.0,2.70470195178,5954.0,6.2,3.0
52,2022-03-30,3.0,6.0,4.0,3.6,0.0,2.70470195178,5458.0,6.2,3.0
53,2022-03-30,3.0,7.0,2.9,1.4,0.0,2.70470195178,2487.0,6.2,3.0
54,2022-03-30,3.0,8.0,8.3,1.4,0.0,2.70470195178,5411.0,6.2,3.0
55,2022-03-30,3.0,9.0,6.5,1.0,0.0,2.70470195178,8098.0,6.2,3.0
56,2022-03-31,4.0,1.0,1.8,3.4,4.8,2.70470195178,840.0,6.2,3.0
57,2022-03-31,4.0,10.0,4.1,0.0,11.0,2.70470195178,2037.0,6.2,3.0
58,2022-03-31,4.0,11.0,3.6,0.0,6.7,2.70470195178,4614.0,6.2,3.0
59,2022-03-31,4.0,12.0,1.3,0.0,3.0,2.70470195178,7229.0,6.2,3.0
60,2022-03-31,4.0,13.0,3.6,1.0,5.3,2.70470195178,4833.0,6.2,3.0
61,2022-03-31,4.0,14.0,3.2,0.0,5.6,2.70470195178,14216.0,6.2,3.0
62,2022-03-31,4.0,2.0,5.9,0.2,7.1,2.70470195178,4323.0,6.2,3.0
63,2022-03-31,4.0,3.0,0.7,1.4,6.4,2.70470195178,433.0,6.2,3.0
64,2022-03-31,4.0,4.0,5.3,0.0,10.5,2.70470195178,1429.0,6.2,3.0
65,2022-03-31,4.0,5.0,0.3,4.2,4.7,2.70470195178,6222.0,6.2,3.0
66,2022-03-31,4.0,6.0,2.9,1.2,5.7,2.70470195178,6243.0,6.2,3.0
67,2022-03-31,4.0,7.0,1.7,2.0,6.2,2.70470195178,2844.0,6.2,3.0
68,2022-03-31,4.0,8.0,0.7,1.2,6.1,2.70470195178,5850.0,6.2,3.0
69,2022-03-31,4.0,9.0,0.7,1.2,0.0,2.70470195178,9157.0,6.2,3.0
70,2022-04-01,5.0,1.0,5.5,1.0,3.0,2.569100725957,1060.0,7.8,4.0
71,2022-04-01,5.0,10.0,6.5,0.0,9.0,2.569100725957,2295.0,7.8,4.0
72,2022-04-01,5.0,11.0,5.3,0.0,9.1,2.569100725957,5609.0,7.8,4.0
73,2022-04-01,5.0,12.0,3.3,0.0,7.1,2.569100725957,9336.0,7.8,4.0
74,2022-04-01,5.0,13.0,4.1,0.0,4.8,2.569100725957,5650.0,7.8,4.0
75,2022-04-01,5.0,14.0,5.5,0.0,8.9,2.569100725957,17866.0,7.8,4.0
76,2022-04-01,5.0,2.0,5.4,0.0,8.0,2.569100725957,5494.0,7.8,4.0
77,2022-04-01,5.0,3.0,5.3,0.2,9.0,2.569100725957,538.0,7.8,4.0
78,2022-04-01,5.0,4.0,4.6,0.8,3.5,2.569100725957,1700.0,7.8,4.0
79,2022-04-01,5.0,5.0,3.6,4.0,5.7,2.569100725957,7902.0,7.8,4.0
80,2022-04-01,5.0,6.0,3.7,0.0,8.9,2.569100725957,7806.0,7.8,4.0
81,2022-04-01,5.0,7.0,2.5,0.4,7.8,2.569100725957,3591.0,7.8,4.0
82,2022-04-01,5.0,8.0,1.6,0.4,5.9,2.569100725957,7173.0,7.8,4.0
83,2022-04-01,5.0,9.0,4.8,0.6,7.4,2.569100725957,11654.0,7.8,4.0
84,2022-04-02,6.0,1.0,7.6,0.0,5.8,2.569100725957,1037.0,7.8,4.0
85,2022-04-02,6.0,10.0,7.1,0.0,4.6,2.569100725957,2646.0,7.8,4.0
86,2022-04-02,6.0,11.0,7.0,0.2,5.3,2.569100725957,5862.0,7.8,4.0
87,2022-04-02,6.0,12.0,4.7,0.2,6.7,2.569100725957,10385.0,7.8,4.0
88,2022-04-02,6.0,13.0,7.6,0.0,7.7,2.569100725957,6125.0,7.8,4.0
89,2022-04-02,6.0,14.0,6.7,0.0,7.0,2.569100725957,21017.0,7.8,4.0
90,2022-04-02,6.0,2.0,8.9,0.0,2.6,2.569100725957,5571.0,7.8,4.0
91,2022-04-02,6.0,3.0,6.1,0.4,3.5,2.569100725957,534.0,7.8,4.0
92,2022-04-02,6.0,4.0,7.8,2.2,8.0,2.569100725957,1965.0,7.8,4.0
93,2022-04-02,6.0,5.0,5.7,0.0,8.4,2.569100725957,8591.0,7.8,4.0
94,2022-04-02,6.0,6.0,8.8,0.0,5.6,2.569100725957,8000.0,7.8,4.0
95,2022-04-02,6.0,7.0,5.3,0.6,7.3,2.569100725957,3821.0,7.8,4.0
96,2022-04-02,6.0,8.0,5.3,0.2,11.0,2.569100725957,7793.0,7.8,4.0
97,2022-04-02,6.0,9.0,5.5,0.2,6.7,2.569100725957,12787.0,7.8,4.0
98,2022-04-03,0.0,1.0,5.7,3.0,0.5,2.569100725957,910.0,7.8,4.0
99,2022-04-03,0.0,10.0,6.8,0.0,5.0,2.569100725957,1899.0,7.8,4.0
100,2022-04-03,0.0,11.0,7.7,0.0,6.7,2.569100725957,4220.0,7.8,4.0
101,2022-04-03,0.0,12.0,6.7,0.0,6.8,2.569100725957,7678.0,7.8,4.0
102,2022-04-03,0.0,13.0,9.3,0.0,5.1,2.569100725957,4301.0,7.8,4.0
103,2022-04-03,0.0,14.0,7.7,0.2,5.5,2.569100725957,19060.0,7.8,4.0
104,2022-04-03,0.0,2.0,6.2,1.0,3.3,2.569100725957,4682.0,7.8,4.0
105,2022-04-03,0.0,3.0,4.2,4.0,2.9,2.569100725957,409.0,7.8,4.0
106,2022-04-03,0.0,4.0,9.2,2.8,8.3,2.569100725957,1097.0,7.8,4.0
107,2022-04-03,0.0,5.0,8.7,2.2,4.0,2.569100725957,6958.0,7.8,4.0
108,2022-04-03,0.0,6.0,6.9,0.0,5.0,2.569100725957,6185.0,7.8,4.0
109,2022-04-03,0.0,7.0,7.8,0.4,3.4,2.569100725957,2941.0,7.8,4.0
110,2022-04-03,0.0,8.0,6.7,0.0,6.8,2.569100725957,5093.0,7.8,4.0
111,2022-04-03,0.0,9.0,7.6,0.0,3.1,2.569100725957,8922.0,7.8,4.0
112,2022-04-04,1.0,1.0,5.7,11.2,0.0,2.569100725957,740.0,7.8,4.0
113,2022-04-04,1.0,10.0,8.0,3.4,0.0,2.569100725957,1626.0,7.8,4.0
114,2022-04-04,1.0,11.0,10.1,3.0,0.4,2.569100725957,4052.0,7.8,4.0
115,2022-04-04,1.0,12.0,11.1,3.6,0.2,2.569100725957,6576.0,7.8,4.0
116,2022-04-04,1.0,13.0,10.2,4.2,0.0,2.569100725957,4395.0,7.8,4.0
117,2022-04-04,1.0,14.0,12.0,3.2,0.0,2.569100725957,15138.0,7.8,4.0
118,2022-04-04,1.0,2.0,9.6,0.2,2.0,2.569100725957,4199.0,7.8,4.0
119,2022-04-04,1.0,3.0,7.9,2.6,0.0,2.569100725957,347.0,7.8,4.0
120,2022-04-04,1.0,4.0,8.4,3.0,0.0,2.569100725957,1160.0,7.8,4.0
121,2022-04-04,1.0,5.0,11.5,0.0,0.0,2.569100725957,6023.0,7.8,4.0
122,2022-04-04,1.0,6.0,10.2,5.4,0.0,2.569100725957,5754.0,7.8,4.0
123,2022-04-04,1.0,7.0,9.3,8.0,0.0,2.569100725957,2737.0,7.8,4.0
124,2022-04-04,1.0,8.0,9.7,3.0,0.1,2.569100725957,5409.0,7.8,4.0
125,2022-04-04,1.0,9.0,10.1,0.6,0.2,2.569100725957,8068.0,7.8,4.0
126,2022-04-05,2.0,1.0,2.3,17.6,0.0,2.569100725957,732.0,7.8,4.0
127,2022-04-05,2.0,10.0,7.9,0.0,0.0,2.569100725957,1589.0,7.8,4.0
128,2022-04-05,2.0,11.0,9.4,0.0,0.8,2.569100725957,4176.0,7.8,4.0
129,2022-04-05,2.0,12.0,9.9,0.0,0.9,2.569100725957,6877.0,7.8,4.0
130,2022-04-05,2.0,13.0,13.1,0.4,3.9,2.569100725957,4539.0,7.8,4.0
131,2022-04-05,2.0,14.0,11.2,0.0,0.4,2.569100725957,15160.0,7.8,4.0
132,2022-04-05,2.0,2.0,7.9,12.0,0.0,2.569100725957,3826.0,7.8,4.0
133,2022-04-05,2.0,3.0,6.0,18.0,0.0,2.569100725957,365.0,7.8,4.0
134,2022-04-05,2.0,4.0,7.3,1.6,0.0,2.569100725957,1144.0,7.8,4.0
135,2022-04-05,2.0,5.0,9.3,0.0,1.4,2.569100725957,5859.0,7.8,4.0
136,2022-04-05,2.0,6.0,10.2,0.4,3.1,2.569100725957,5550.0,7.8,4.0
137,2022-04-05,2.0,7.0,9.6,0.0,0.7,2.569100725957,2685.0,7.8,4.0
138,2022-04-05,2.0,8.0,9.6,0.4,0.9,2.569100725957,5479.0,7.8,4.0
139,2022-04-05,2.0,9.0,10.3,0.0,2.5,2.569100725957,8309.0,7.8,4.0
140,2022-04-06,3.0,1.0,8.7,0.8,1.4,2.569100725957,920.0,7.8,4.0
141,2022-04-06,3.0,10.0,7.8,17.0,1.7,2.569100725957,1746.0,7.8,4.0
142,2022-04-06,3.0,11.0,10.5,1.2,1.5,2.569100725957,4297.0,7.8,4.0
143,2022-04-06,3.0,12.0,8.9,8.6,0.8,2.569100725957,6544.0,7.8,4.0
144,2022-04-06,3.0,13.0,7.5,5.6,0.1,2.569100725957,4452.0,7.8,4.0
145,2022-04-06,3.0,14.0,11.0,5.4,1.6,2.569100725957,14042.0,7.8,4.0
146,2022-04-06,3.0,2.0,5.9,9.0,1.9,2.569100725957,4278.0,7.8,4.0
147,2022-04-06,3.0,3.0,4.5,23.2,1.9,2.569100725957,377.0,7.8,4.0
148,2022-04-06,3.0,4.0,7.9,2.0,6.5,2.569100725957,1112.0,7.8,4.0
149,2022-04-06,3.0,5.0,7.8,3.8,6.4,2.569100725957,6163.0,7.8,4.0
150,2022-04-06,3.0,6.0,8.7,1.6,3.5,2.569100725957,5933.0,7.8,4.0
151,2022-04-06,3.0,7.0,8.8,9.0,5.1,2.569100725957,2794.0,7.8,4.0
152,2022-04-06,3.0,8.0,9.0,1.6,2.9,2.569100725957,5593.0,7.8,4.0
153,2022-04-06,3.0,9.0,10.1,3.0,2.6,2.569100725957,8484.0,7.8,4.0
154,2022-04-07,4.0,1.0,3.4,8.8,4.6,2.569100725957,824.0,7.8,4.0
155,2022-04-07,4.0,10.0,6.1,2.0,8.3,2.569100725957,1964.0,7.8,4.0
156,2022-04-07,4.0,11.0,7.4,3.4,8.3,2.569100725957,4493.0,7.8,4.0
157,2022-04-07,4.0,12.0,6.5,8.0,8.3,2.569100725957,7554.0,7.8,4.0
158,2022-04-07,4.0,13.0,9.5,8.2,7.7,2.569100725957,5020.0,7.8,4.0
159,2022-04-07,4.0,14.0,8.4,4.0,7.1,2.569100725957,15998.0,7.8,4.0
160,2022-04-07,4.0,2.0,5.3,0.2,3.5,2.569100725957,4388.0,7.8,4.0
161,2022-04-07,4.0,3.0,4.6,3.8,1.3,2.569100725957,487.0,7.8,4.0
162,2022-04-07,4.0,4.0,6.0,1.0,6.2,2.569100725957,1411.0,7.8,4.0
163,2022-04-07,4.0,5.0,4.7,1.6,2.1,2.569100725957,6245.0,7.8,4.0
164,2022-04-07,4.0,6.0,4.5,2.2,3.1,2.569100725957,6031.0,7.8,4.0
165,2022-04-07,4.0,7.0,4.5,2.8,3.5,2.569100725957,2885.0,7.8,4.0
166,2022-04-07,4.0,8.0,6.1,6.8,4.7,2.569100725957,6204.0,7.8,4.0
167,2022-04-07,4.0,9.0,3.0,1.4,2.0,2.569100725957,9406.0,7.8,4.0
168,2022-04-08,5.0,1.0,4.4,1.2,4.3,2.569100725957,1066.0,7.8,4.0
169,2022-04-08,5.0,10.0,9.0,0.2,3.2,2.569100725957,2410.0,7.8,4.0
170,2022-04-08,5.0,11.0,10.1,1.8,4.0,2.569100725957,6047.0,7.8,4.0
171,2022-04-08,5.0,12.0,8.6,0.4,3.0,2.569100725957,9470.0,7.8,4.0
172,2022-04-08,5.0,13.0,9.1,0.0,0.3,2.569100725957,5987.0,7.8,4.0
